DYE MACHINE	Actual St/ Code	Extended status	Shift date	Row name
1601352	A13277A-BR		2015-07-11	ECO 10
1601374	A13226A-BR		2015-07-12	ECO 10
1602117	A13148A-BR		2015-07-12	ECO 10
M1022460	A13148A-BR		2015-07-12	ECO 10
1602251	A13148A-BR		2015-07-12	ECO 10
1602119	A13148A-BR		2015-07-12	ECO 10
1601346			2015-07-12	ECO 10
1601348	A12880C-BR		2015-07-12	ECO 10
STOP ECO 10			2015-07-16	ECO 10
1601542	A13195A-BR		2015-07-10	ECO 11
M1022459	A13195A-BR		2015-07-10	ECO 11
1601541	A13195A-BR		2015-07-10	ECO 11
1602228	A13195A-BR		2015-07-10	ECO 11
M1022461	A13080A-HU		2015-07-10	ECO 11
1601625	A13080A-HU		2015-07-10	ECO 11
1602252	A13080A-HU		2015-07-10	ECO 11
1602074	A12664B-EM		2015-07-11	ECO 11
1602075	A12664B-EM		2015-07-11	ECO 11
1602101	A13266A-NI		2015-07-12	ECO 11
1601619			2015-07-12	ECO 11
1602262			2015-07-13	ECO 11
28 Week LR-01			2015-07-16	ECO 11
1602255			2015-07-11	ECO 12
1602259			2015-07-12	ECO 12
1602301			2015-07-12	ECO 12
1602306			2015-07-13	ECO 12
1602304			2015-07-14	ECO 12
STOP ECO 13.			2015-07-16	ECO 12
1599578DD1	?		2015-07-10	ECO 13
1600854	A13002A-AM		2015-07-13	ECO 13
1602190	A13002A-AM		2015-07-14	ECO 13
1600162	A13002A-AM		2015-07-15	ECO 13
1602207	A13002A-AM		2015-07-16	ECO 13
STOP LR 01			2015-07-16	ECO 13
FLASH  ORDER WEEK 45 del 21Nov			2015-07-17	ECO 13
1602038	A13228A-HU		2015-07-10	ECO 14
1602039	A13228A-HU		2015-07-10	ECO 14
M1022443	A13228A-HU		2015-07-10	ECO 14
1602040	A13228A-HU		2015-07-11	ECO 14
1602115	A13228A-HU		2015-07-11	ECO 14
M1022445	A13148A-BR		2015-07-11	ECO 14
1602118	A13148A-BR		2015-07-11	ECO 14
1602120	A13148A-BR		2015-07-11	ECO 14
1602320	A12360B-AM		2015-07-11	ECO 14
1602265			2015-07-11	ECO 14
1602293			2015-07-12	ECO 14
M1022465			2015-07-13	ECO 14
1602291			2015-07-13	ECO 14
1602292			2015-07-13	ECO 14
1602299			2015-07-13	ECO 14
STOP ECO 14.			2015-07-16	ECO 14
